Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
3132.94,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Buttered Toast with Cinnamon,Blueberry Shake,,
3132.94,4,Smoked Salmon and Egg Tortilla,Yogurt with Pumpkin & Cinnamon,Cucumber Tomato Salad with Tuna,Quick Hip Spinach,Blackberry Yogurt Parfait
3132.94,5,Huevos Pericos,"Peanut Butter, Spinach, and Kale Smoothie","Ham, Mozzarella, and Fig Sandwich on Ciabatta",Avocado Rice Cake,
3486.66,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Brie Toast,Coconut Banana Protein Shake,,
3486.66,4,Oat & cottage pancakes,Peaches & Almond Butter on Toast,Spicy Tuna Salad,"Chickpea, Walnut, & Cucumber Yogurt",Tuna Salad  Wrap
3486.66,5,Mango Granola Parfait,Protein Berry Crumble,Sunrise Peanut Butter Berry Protein Smoothie,"Avocado, Strawberry, and Spinach Salad",
3840.38,3,Basic scrambled eggs,Fried Rice,Peach Oatmeal Smoothie,,
3840.38,4,"Eggs, Cheese, and Radishes",Yogurt & Apricots,1000 Calorie Shake,Green salad,Waldorf-ish Salad
3840.38,5,Vegetarian Breakfast Burrito,Very Berry Cottage Cheese,Blueberry Date Smoothie,Protein-boosted Yogurt,
1800.25,3,Avocado & Kale Omelet,Yogurt & Applesauce,Cilantro Crab & Corn Stuffed Peppers,,
1800.25,4,Cinnamon Apple Oatmeal,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Tuna and Avocado Salad,Light Nectarine Yogurt,"Toast with Tomato, Onion, & Hummus"
1800.25,5,Asparagus Omelet,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese",Yogurt with Avocado & Basil,Carrots,
2160.3,3,Spinach and Poached Egg Muffins,Sweet Cottage Cheese & Blue Berries,Sunrise Smoothie,,
2160.3,4,Mixed Berry Morning Smoothie,Apple,Peach and Blueberry Parfait,Avocado Coleslaw,Almonds and Blueberries Yogurt Snack
2160.3,5,Vanilla Banana Protein Shake,Guacamole on Tostada,Paleo Avocado Tuna Salad (Tuna in Water),Carrots,
2475.34,3,Caprese Eggs and Portabella Mushrooms,Whey Chocolate Shake,Tuna Stuffed Pepper,,
2475.34,4,Breakfast pita pizza,Light Nectarine Yogurt,Turkey Veggie Hummus Wrap,Carrots with Hummus,Sardine Salad Sandwich
2475.34,5,Caramelized onion frittata,Cottage Cheese and Strawberry Toast,Ole Salad,Yogurt & Banana Chips,
2790.39,3,"Bacon and Egg Scramble with Bell Peppers, Mushrooms, and Onions",Chocolate Peanut Hazelnut Banana shake,Tuna Sweetcorn Salad,,
2790.39,4,Cinnamon Swirl Pumpkin Pie Protein Pancakes,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Cottage Cheese with Raspberries,Coco Bongo protein shake,Raspberry Peanut Butter Protein Smoothie
2790.39,5,Scrambled Eggs on Toast with Vegemite and Avocado,Light Peach Yogurt,Plain Tuna Salad,Ants on a Log,
3105.43,3,Peanut Butter Yogurt and Oats,Bacon,White Bean & Veggie Salad,,
3105.43,4,Protein Silver Dollar Blueberry Pancakes,No-Bake Apple "Cookies",Cottage Cheese and Black Bean Tuna Salad,Chocolate Peanut Hazelnut Banana shake,Tuna & White Bean Salad
3105.43,5,Mediterranean Tomato Egg Scramble Wrap,Granola,Red Eye Protein Parfait,Bell Pepper and Hummus Snack,
3420.47,3,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Fried Rice,Blueberry Shake,,
3420.47,4,Peanut Butter Raisin Oatmeal,Protein-boosted Honey Yogurt,Oatmeal Banana Peanut Butter Chocolate Shake,Mixed Greens with Sliced Cucumber and Avocado,Tuna & White Bean Salad
3420.47,5,Herb Omelette with Fried Tomatoes,Honey and Melon Cottage Cheese,Orange-Vanilla Protein Smoothie,Cucumber Noodles with Peanut Sauce,
1413.75,3,Peanut Butter Berry Pineapple Protein Smoothie,Cinnamon Apple Bites,Greek Yogurt  with Mixed Berries,,
1413.75,4,Zucchini Scramble,Yogurt & Strawberries,Tuna Poke,Peach and Peanut Butter Snack,Tomato Basil Layered Salad
1413.75,5,Mushroom and Asparagus Scramble,Nonfat yogurt,Simple Lemon Pepper Tuna,Carrots with Hummus,
1696.5,3,English Muffin Breakfast Pizza,Fruit Salad,Tuna and Avocado Wrap,,
1696.5,4,Garlicky Bacon and Spinach Grilled Cheese,Buttered Toast with Cinnamon,Greek Yogurt  with Mixed Berries,Spinach Tomato Salad,Red Pepper & Tomato Salad
1696.5,5,Egg White Avocado & Tomato Scramble,Honey Grapefruit with Banana,Cucumber Tomato Salad with Tuna,Almonds,
1943.91,3,The Best Keto Breakfast,Yogurt & Honeydew Melon,Blueberry Chard Protein Smoothie,,
1943.91,4,Green Ginger Berry Smoothie,Yogurt with Walnuts & Honey,"Dijon, Dill, and Cottage Cheese Tuna Salad",Edamame Slaw,Rice Cakes with Banana & Almond Butter
1943.91,5,Yogurt with Pumpkin & Cinnamon,Honey Avocado Smoothie,All American Tuna,Easy Spinach and Scallion Salad,
2191.31,3,French Toast with Fruit,Chocolate Avocado Smoothie,Tuna Stuffed Pepper,,
2191.31,4,Sunrise Smoothie,Turkish Style Zucchini Fritters,White Bean & Veggie Salad,Nonfat yogurt,Trail Mix
2191.31,5,Pina Colada Chia Pudding,Nonfat greek yogurt,Chicken Celery Sticks,Hummus Chickpea Snack Sandwiches,
2438.72,3,"Bacon, Fig, and Arugula Toast",Peanut Butter Banana Smoothie,Hummus Pocket Sandwich,,
2438.72,4,Tofu Scramble and Avocado Toast,Nonfat yogurt,Strawberry Almond Trim Smoothie,Peanut Butter & Carrots,Peanut Butter Berry Pineapple Protein Smoothie
2438.72,5,Sweet Potato Hash,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Simple Ham and Lettuce Sandwich,Thai Cucumber Salad,
2686.12,3,Peach Cobbler Oatmeal,Yogurt with Walnuts & Honey,Strawberry Oatmeal Protein Smoothie,,
2686.12,4,Peach and Blueberry Parfait,Cinnamon Sugar Toast with Sea Salt,Chickpea Mash Salad,Whey Chocolate Shake,Yogurt with Avocado & Basil
2686.12,5,Sunrise Smoothie,Cranberry Almond Energy Balls,Paleo Avocado Tuna Salad (Tuna in Oil),Strawberries,
1226.5,3,Egg White Avocado & Tomato Scramble,Peaches & Almond Butter on Toast,Blueberry Vanilla Greek Yogurt,,
1226.5,4,Chicken and Dill Protein Scramble,Apple,Yogurt with Mango & Avocado,Grilled Cod,"Turkey, Kale, and Goat Cheese Roll-Up"
1226.5,5,Simple Tofu Scramble,Blueberries,Tuna Stuffed Pepper,Green salad,
1471.8,3,"ALT (Avocado, Lettuce, and Tomato) Sandwiches",Yogurt with Pumpkin & Cinnamon,Vanilla Banana Protein Shake,,
1471.8,4,Egg White Avocado & Tomato Scramble,Light Peach Yogurt,Raspberries and Blackberries Protein Smoothie,Bell Pepper and Hummus Snack,"Banana, Peanut Butter and Raisins"
1471.8,5,Peanut Butter Protein Oats,Mini Avocado and Hummus Quesadilla,Plain Tuna Salad,Carrots with Hummus,
1686.44,3,Avocado & Kale Omelet,Light Raspberry yogurt,Lemon-Pepper Tuna Sandwich,,
1686.44,4,Peanut Butter Protein Oats,Rice Cake with Strawberries and Honey,Tuna Stuffed Pepper,Basic Tossed Salad,Turkey Cottage Cheese Lettuce Wrap
1686.44,5,Protein Power Oats,Apple Toast,Tuna with Avocado,Green Kale Salad,
1901.08,3,Tomatillo and Avocado Scramble,Light Peach Yogurt,Banana Almond Shake,,
1901.08,4,Pina Colada Chia Pudding,Yogurt & Applesauce,Tropical Green Protein Smoothie,Green Kale Salad,Chickpea Mash Salad
1901.08,5,Avocado-egg Toast,Yogurt with Almonds & Honey,Mango Smoothie,Rice Cake with Salmon & Dill Spread,
2115.71,3,Salmon and Cream Cheese on Toast,Strawberry and Almond Butter Fruit Smoothie,Protein Yogurt and Blueberries,,
2115.71,4,Ham and Veggie Omelet,Peaches and Almond Butter on Toast,Cilantro Crab & Corn Stuffed Peppers,"Ginger, Apple, and Mint Green Smoothie",Avocado Chickpea Lettuce Wraps
2115.71,5,Egg White Avocado & Tomato Scramble,"Strawberry, Peach, and Chia Smoothie",Keto Salmon-Filled Avocados,Yogurt & Strawberries,
2330.35,3,Protein Yogurt and Blueberries,PB & Dates Energy Bites,Post-Workout Banana Protein Smoothie,,
2330.35,4,Cottage Cheese with Raspberries,Strawberry and Almond Butter Fruit Smoothie,Cool Summer Cucumber Chicken and Tomato Toss,Lettuce Cucumber Walnut Salad,"Turkey, Cheddar, and Mustard Sandwich"
2330.35,5,Sausage and Egg White Scramble,"Toast with Tomato, Onion, & Hummus",Grown-Up PB&J Toast,Rice Cake with Salmon & Dill Spread,
2005,3,Egg and Greens Skillet,Nonfat yogurt,Cilantro Crab & Corn Stuffed Peppers,,
2005,4,"Berry, Spinach, and Avocado Smoothie",Cinnamon Toast,Cottage Cheese with Blueberries and Honey,Edamame Slaw,"Turkey, Ham, and Avocado on Rye"
2005,5,Zucchini Hash,Peaches & Almond Butter on Toast,Chocolate Peanut Butter Oatmeal Protein Shake,Heirloom Tomato Basil Mozzarella Salad,
2406,3,Greek Yogurt and Berry Parfait,Cinnamon Banana Mug Cake,Blueberry Almond Butter Protein Smoothie,,
2406,4,Cinnamon Raisin Protein Oatmeal,Guacamole on Tostada,Strawberry Protein Shake,Mediterranean Chopped Salad,Yogurt with Avocado & Basil
2406,5,Protein Silver Dollar Blueberry Pancakes,Peach and Peanut Butter Snack,Tropical Green Protein Smoothie,Brussels Sprout Slaw,
2756.88,3,"Breakfast Sandwich with Egg, Cheese, and Ham",Coco Bongo protein shake,Salmon Salad,,
2756.88,4,Mocha Berry Almond Smoothie,Buttered Toast,"Pineapple, Blueberry, Bran Parfait",Tuna Apple Salad,Tuna & White Bean Salad
2756.88,5,Bacon and Eggs with Cherry Tomatoes,Yogurt & Mango,Blueberry Chard Protein Smoothie,Caprese Salad,
3107.75,3,Red Eye Protein Parfait,Peanut Butter and Banana Shake,Smashed White Bean and Avocado Sandwich,,
3107.75,4,Monte Cristo sandwich,Light Peach Yogurt,Chocolate peanut protein shake,Sprout Salad,Tuna-Avocado Sandwich
3107.75,5,Chocolate PB & Banana Protein Shake,Turkish Style Zucchini Fritters,Peach and Blueberry Parfait,Basic Tossed Salad,
3458.62,3,Herb Omelette with Fried Tomatoes,Apple Pie Kefir Smoothie,Chicken and avocado salad,,
3458.62,4,"Turkey, Ham, and Avocado on Rye",Protein Berry Crumble,Red Eye Protein Parfait,Lemon Avocado Salad,"Berry, Spinach, and Avocado Smoothie"
3458.62,5,"Eggs, Cheese, and Radishes",Honey Grapefruit with Banana,Blueberry Kale Salad,Yogurt & Strawberries,
3809.5,3,Cheesy Scrambled Eggs With Scallions,Fried Rice,Yogurt Chocolate Banana Shake,,
3809.5,4,Pumpkin Pecan Oatmeal,Guacamole on Tostada,Salmon Salad,"Cinnamon, Honey, Apple Cottage Cheese",Simple Ham and Lettuce Sandwich
3809.5,5,Vegetarian Breakfast Burrito,Yogurt with Almonds & Honey,Banana oatmeal smoothie,Green Kale Salad,
1510.25,3,Egg White Avocado & Tomato Scramble,Peaches & Almond Butter on Toast,Tuna and Avocado Salad,,
1510.25,4,Protein Veggie Omelet,Apple Toast,"Turkey, Ham, and Avocado on Rye",Papaya Flaxseed Shake,Almonds
1510.25,5,Scrambled Eggs with Spinach and Ricotta,"Rice Cake with Peanut Butter, Pear, and Honey",Honey Avocado Smoothie,Veggies with Hummus,
1812.3,3,Sweet Chocolate Oatmeal,Chocolate Avocado Smoothie,White Bean & Artichoke Toast,,
1812.3,4,Baby Carrot Banana Smoothie,Peach and Peanut Butter Snack,Peach and Blueberry Parfait,Cheesy Cucumber and Tomato Snack Stacks,Brie cheese on bread
1812.3,5,Eggs with Hats on Top,Yogurt with Pumpkin & Cinnamon,Lemon-Pepper Tuna Sandwich,Chopped Salad,
2076.59,3,Cinnamon French Toast,Whey Chocolate Shake,Tuna Salad  Wrap,,
2076.59,4,"Peanut Butter, Mango, and Kale Protein Smoothie",Toast with Tomato and Hummus,Mango Strawberry Arugula Salad,Rice Cake with Salmon & Dill Spread,"Turkey, Ham, and Avocado on Rye"
2076.59,5,Poached Egg and Crispy Prosciutto Toast,Light Raspberry yogurt,"Mango, Berry, Flax Smoothie",Caprese Salad,
2340.89,3,Chocolate Peanut Butter Oatmeal Protein Shake,Apples and Almond Butter,Tuna Salad,,
2340.89,4,Savory Cr?pes,Yogurt & Raisins,Greens and Raspberry Protein Smoothie,Peanut Butter & Carrots,Honey Avocado Smoothie
2340.89,5,Cheese Egg White Omelette,Apple,Very Berry Greek Yogurt,Easy Cucumber Lemon Salad,
2605.18,3,Mocha Berry Almond Smoothie,Toast with Tomato and Hummus,Spicy Tuna Salad,,
2605.18,4,Avocado Sandwich,Yogurt & Strawberries,Post-Workout Peanut Butter Shake,Lebanese Fresh Thyme Tomato Salad,Yogurt Peanut Butter Dip & Apples
2605.18,5,Savory Cr?pes,Cottage Cheese & Apricots,"Berry, Spinach, and Avocado Smoothie",Pineapple & Avocado Salad,
2869.47,3,Microwave Vanilla Banana Oat Cake,Vanilla Walnut Blueberry Yogurt,Oatmeal Banana Peanut Butter Chocolate Shake,,
2869.47,4,Chocolate peanut protein shake,Cinnamon Toast,Fruited Curry Chicken Salad,Smoked Almond Cottage Cheese Endive Bites,Strawberry Almond Trim Smoothie
2869.47,5,Egg with Bacon and Brussel Sprout Hash,Cinnamon Honey Cottage Cheese,Chicken and avocado salad,Yogurt with Pumpkin & Cinnamon,
2142.5,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Buttered Toast with Cinnamon,Apple Walnut Parfait,,
2142.5,4,Protein Southwest Scramble,Peanut Butter and Peach Toast,Mocha Berry Almond Smoothie,Sliced bell pepper,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese"
2142.5,5,Savory Cr?pes,Light Nectarine Yogurt,Vanilla Protein Milkshake,Easy Tossed Salad,
2571,3,Egg with Bacon and Brussel Sprout Hash,Strawberry and Almond Butter Fruit Smoothie,Tuna Salad,,
2571,4,Strawberry French Toast,Cottage Cheese & Peaches,Chicken and avocado salad,"Maple, Strawberry, and Banana Shake",Chicken & Pineapple Stir-Fry
2571,5,3-Vegetable Tofu Scramble,Tuna Stuffed Pepper,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Greek Yogurt and Berry Parfait,
2945.94,3,Egg-Stuffed Avocado,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Oatmeal Banana Peanut Butter Chocolate Shake,,
2945.94,4,Spicy Fried Eggs,Yogurt & Applesauce,Cream Cheese Turkey Rollups,Strawberry and Almond Butter Fruit Smoothie,Tuna & White Bean Salad
2945.94,5,Protein Yogurt and Blueberries,Buttered Toast,Oatmeal banana protein shake,Tomato and Radish Salad,
3320.88,3,Ham and Asparagus Fritatta,Spanish-style Toast with Tomato,Banana oatmeal smoothie,,
3320.88,4,Vegetable 3 Egg Scramble,Yogurt with Almonds & Honey,Quick Salsa Tuna Wrap,Waldorf-ish Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
3320.88,5,Tofu Scramble and Avocado Toast,Basic Protein Shake,Paleo Avocado Tuna Salad (Tuna in Oil),Yogurt & Strawberries,
3695.81,3,Pumpkin Pecan Oatmeal,Apple Slice Sandwich,Yogurt Parfait,,
3695.81,4,Peanut Butter Raisin Oatmeal,Easy To Peel Hard-Boiled Eggs,Tropical Green Protein Smoothie,"Chickpea, Walnut, & Cucumber Yogurt",Summer Pepper and Tomato Salad
3695.81,5,Egg and Onion Scramble,Peanut Butter Bagel,Paleo Avocado Tuna Salad (Tuna in Oil),"Cinnamon, Honey, Apple Cottage Cheese",
4070.75,3,Strawberry Banana Smoothie,Nonfat greek yogurt,Caprese Corn Lunch Salad,,
4070.75,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Cinnamon Sugar Toast with Sea Salt,Peach Oatmeal Smoothie,Spinach Tomato Salad,Simple Ham and Lettuce Sandwich
4070.75,5,Sausage and Egg White Scramble,Gluten Free Chocolate Protein Muffins,Blueberry Shake,Simple Spinach Salad,
1455.25,3,Seedy Avocado Toast,Light Peach Yogurt,Raspberries and Blackberries Protein Smoothie,,
1455.25,4,Ham and Egg Mushroom Cups,Cinnamon Apple Delight,Chocolate Peanut Butter Oatmeal Protein Shake,Bell Pepper and Hummus Snack,Cottage Cheese with Raspberries
1455.25,5,Egg White and Mushroom Omelet,Peanut Butter and Peach Toast,Lemon-Pepper Tuna Sandwich,Balsamic Arugula Salad,
1746.3,3,Banana Peanut Butter Chia Pudding,Light Raspberry yogurt,Quick Avocado Tuna Sandwich,,
1746.3,4,Peanut Butter Protein Oats,PB & Dates Energy Bites,Raspberries and Blackberries Protein Smoothie,Tomato Basil Layered Salad,Almonds and Blueberries Yogurt Snack
1746.3,5,Egg Cups,Apples and Almond Butter,Chocolate Peanut Butter Oatmeal Protein Shake,Mediterranean Salad,
2000.97,3,Pumpkin Protein Pancakes,Apple Slice Sandwich,Paleo Avocado Tuna Salad (Tuna in Water),,
2000.97,4,Sticky Bun Chia Seed Pudding,Blueberry Yogurt,Grown-Up PB&J Toast,Chocolate Milk Whey Protein Shake,"Turkey, Ham, and Avocado on Rye"
2000.97,5,Yogurt with Avocado & Basil,Vegan Breakfast Potatoes,All American Tuna,Avocado Citrus Salad with Mint,
2255.64,3,Garlic Eggs,Strawberry and Almond Butter Fruit Smoothie,Greek Yogurt with Blue and Blackberries,,
2255.64,4,Spinach and Mushroom Breakfast Scramble,Raspberry Yogurt Parfait,Orange Creamsicle Protein Shake,Corn Thins and Avocado,"Turkey, Ham, and Avocado on Rye"
2255.64,5,"Kale, Sweet Potato, and Onion Frittata",Toast with Blueberries and Cream Cheese,Cilantro Crab & Corn Stuffed Peppers,Carrots,
2510.31,3,Protein Southwest Scramble,"Peanut Butter, Spinach, and Kale Smoothie",Paleo Avocado Tuna Salad (Tuna in Oil),,
2510.31,4,Sunrise Peanut Butter Berry Protein Smoothie,Toast with Tomato and Hummus,Turkey Wrap,Yogurt & Cantaloupe,Trail Mix
2510.31,5,Chocolate Almond Iced Coffee,Protein-boosted Yogurt,Cilantro Crab & Corn Stuffed Peppers,Turkey and Avocado Wrap,
2764.97,3,Apple Granola "Cookies",Peanut Butter and Date Shake,Quick Avocado Tuna Sandwich,,
2764.97,4,Apple Sandwiches with Almond Butter & Granola,Cottage Cheese & Apricots,Turkey Veggie Hummus Wrap,Yogurt with Cucumber & Lox,Blackberry Yogurt Parfait
2764.97,5,Steak and Eggs Hash,Strawberries,Strawberry Protein Shake,Avocado Rice Cake,
1745,3,Tropical Green Protein Smoothie,Mini Avocado and Hummus Quesadilla,"Pineapple, Blueberry, Bran Parfait",,
1745,4,"Vanilla, Banana, and Kale Protein Smoothie",Turkish Style Zucchini Fritters,Avocado Chickpea Lettuce Wraps,Yogurt & Applesauce,Grown-Up PB&J Toast
1745,5,Morning Salmon Salad,Peanut Butter and Peach Toast,Greek Yogurt and Berry Parfait,Easy Tossed Salad,
2094,3,Mixed Berry Morning Smoothie,Avocado Rice Cake,Spicy Tuna Salad,,
2094,4,Scrambled Eggs and Broccoli,Peanut Butter Banana Smoothie,Turkey Veggie Hummus Wrap,Spicy Yogurt Dip with Carrots,Ham and Salami Roll-ups
2094,5,Spinach and Poached Egg Muffins,Bacon,Peach and Blueberry Parfait,Green Kale Salad,
2399.38,3,Protein Yogurt and Blueberries,"Toast with Berries, Basil & Cream Cheese",Vanilla Banana Protein Shake,,
2399.38,4,Savory Cr?pes,Orange Dream Protein Smoothie,Turkey Veggie Hummus Wrap,Hummus Chickpea Snack Sandwiches,"Turkey, Ham, and Avocado on Rye"
2399.38,5,Vegan Tofu Spinach Scramble,"Toast with Figs, Ricotta, & Sesame Seeds",Cool Summer Cucumber Chicken and Tomato Toss,Quick Mint Yogurt,
2704.75,3,Chocolate peanut protein shake,Vegan Breakfast Potatoes,Red Eye Protein Parfait,,
2704.75,4,Avocado and Salmon Toast,Protein-boosted Honey Yogurt,Peanut Butter and Banana Toast,Green Bean Healthy Tuna Salad,Sardine Salad Sandwich
2704.75,5,"Mushroom, Spinach, and Goat Cheese Omelet",Banana,"Turkey, corn and tomato wrap","Yogurt with Beets, Orange, Dill, and Honey",
3010.12,3,Pumpkin Pecan Oatmeal,Granola,Salmon Salad,,
3010.12,4,"Egg, Avocado, and Bacon Scramble","Flour Tortilla with Peanut Butter, Blackberries, and Honey",Strawberry Oatmeal Protein Smoothie,Arugula Salad,Chicken Marsala
3010.12,5,Pumpkin Pecan Oatmeal,Classic Tuna Salad,Blueberry & Grapes with Brown Sugar Cream,Yogurt Peanut Butter Dip & Apples,
3315.5,3,Blueberry Parfait,Gluten Free Chocolate Protein Muffins,1000 Calorie Shake,,
3315.5,4,Mocha Berry Almond Smoothie,Apples and Almond Butter on Toast,Salmon Salad,"Yogurt with Beets, Orange, Dill, and Honey",Red Pepper Turkey Roll-ups
3315.5,5,Spicy Avocado Toast,Yogurt & Cantaloupe,Post-Workout Peanut Butter Shake,Simple Mixed Greens Salad,
1795.25,3,Guacamole Pizza,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Strawberry Protein Shake,,
1795.25,4,Parsley and Tomato Scramble,Cinnamon Yogurt with Sliced Apple,Baby Carrot Banana Smoothie,Sprout Salad,Tomato Basil Layered Salad
1795.25,5,Almonds and Blueberries Yogurt Snack,"Toast with Tomato, Onion, & Hummus",Quick Buffalo Chicken Salad,Chocolate Date Shake,
2154.3,3,Canadian Bacon Breakfast Sandwich,Chocolate Avocado Smoothie,Chicken and avocado salad,,
2154.3,4,Coconut Cinnamon Oats,Yogurt & Honeydew Melon,Tuna Avocado Salad,Strawberry and Almond Butter Fruit Smoothie,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese"
2154.3,5,Peanut Butter Protein Oats,Mango Pineapple Smoothie,Lemon-Pepper Tuna Sandwich,Spinach Tomato Salad,
2468.47,3,Morning Green Smoothie,Granola,Red Eye Protein Parfait,,
2468.47,4,Keto Philly Cheesesteak Omelet,Banana,Cilantro Crab & Corn Stuffed Peppers,Yogurt with Papaya,"Turkey, Cheddar, and Mustard Sandwich"
2468.47,5,Protein Silver Dollar Blueberry Pancakes,Apples and Almond Butter on Toast,Classic Tuna Salad,Apple,
2782.64,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Cinnamon Banana Mug Cake,Asian Tuna Salad,,
2782.64,4,Coconut Flour Pancake,Chocolate Coconut Protein Shake,Tuna Salad,Cinnamon Yogurt with Sliced Apple,Sardine Salad Sandwich
2782.64,5,Peach and Blueberry Parfait,Granola,Cilantro Crab & Corn Stuffed Peppers,Cantaloupe with Feta & Pepper,
3096.81,3,Pesto Breakfast Sandwich,Protein Berry Crumble,Red Eye Protein Parfait,,
3096.81,4,Pumpkin Pecan Oatmeal,Cantaloupe,Chicken and avocado salad,Banana Smoothie,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
3096.81,5,Canadian Bacon and Avocado Omelet,Yogurt & Banana,Tropical Green Protein Smoothie,Chopped Radish and Avocado Salad,
